報告年度:2023,議題:人力發展,,,,,,,,,,,
公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開),管理職女性主管占比-管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,職業災害-類別,火災-件數,火災-死傷人數,火災-比率(死傷人數/員工總人數)
2020,美亞,"1,029",693,819,694,2.33%,6,2.07%,被夾、被捲，被切、割，與高低溫接觸，不當動作。,0,0,0
2022,聚亨,740,626,569,522,10.81%,1,0.90%,,0,0,0
2023,燁輝,"1,067",803,866,842,4.00%,1,0.07%,,0,0,0
2024,志聯,662,524,519,481,30.77%,1,0.64%,,0,0,0
2025,千興,649,530,568,549,40.00%,1,1.47%,切、割、擦傷,0,0,0
2027,大成鋼,615,491,480,458,21.66%,2,0.19%,,0,0,0
2028,威致,938,682,784,737,33.33%,7,1.86%,,0,0,0
2029,盛餘,"1,307","1,025","1,140","1,050",9.38%,2,0.39%,,0,0,0
2030,彰源,805,682,655,581,0.04%,11,7.63%,夾捲傷、割傷、撞擊、物體飛落、不當動作等,0,0,0
2031,新光鋼,"1,059",888,807,703,5.73%,1,0.03%,壓傷、物體倒塌,0,0,0.00%
2032,新鋼,645,507,520,494,26.67%,1,0.62%,,0,0,0
2033,佳大,704,550,522,496,11.11%,0,0.00%,,0,0,0
2034,允強,789,628,605,559,17.65%,13,1.52%,職業傷害類型主要為扭傷、壓傷、切割擦傷及跌倒，本公司已採取改善措施，包含加強安全宣導、教育訓練以及提供安全上下設備 ，以降低危害發生之機率。,0,0,0
2038,海光,757,645,622,574,1.34%,0,0.00%,,0,0,0
2049,上銀,824,685,798,760,13.60%,2,0.04%,交通事故、被夾被捲,0,0,0
2059,川湖,796,679,669,498,28.21%,0,0.00%,,0,0,0
2062,橋椿,700,581,552,477,48.06%,18,1.90%,,0,0,0
